nmes;anio;mes;ctdia;ctmes;varmes;varanio
1;1995;Enero;30.76;922.86;
2;1995;Febrero;30.71;921.3;-0.17;
3;1995;Marzo;30.72;921.65;0.04;
4;1995;Abril;30.7;921.12;-0.06;
5;1995;Mayo;31.38;941.46;2.21;
6;1995;Junio;31.77;952.99;1.22;
7;1995;Julio;31.39;941.77;-1.18;
8;1995;Agosto;31.81;954.17;1.32;
9;1995;Septiembre;31.52;945.6;-0.9;
10;1995;Octubre;31.04;931.26;-1.52;
11;1995;Noviembre;31.98;959.41;3.02;
12;1995;Diciembre;32.51;975.31;1.66;
13;1996;Enero;32.77;983.19;0.81;6.54
14;1996;Febrero;33.04;991.11;0.81;7.58
15;1996;Marzo;33.58;1007.41;1.64;9.31
16;1996;Abril;34.61;1038.38;3.07;12.73
17;1996;Mayo;34.67;1040.13;0.17;10.48
18;1996;Junio;34.88;1046.43;0.61;9.8
19;1996;Julio;35.79;1073.65;2.6;14
20;1996;Agosto;36.94;1108.16;3.21;16.14
21;1996;Septiembre;37.13;1114.02;0.53;17.81
22;1996;Octubre;37.38;1121.51;0.67;20.43
23;1996;Noviembre;37.61;1128.34;0.61;17.61
24;1996;Diciembre;37.65;1129.49;0.1;15.81
25;1997;Enero;37.19;1115.82;-1.21;13.49
26;1997;Febrero;36.79;1103.72;-1.08;11.36
27;1997;Marzo;37.48;1124.34;1.87;11.61
28;1997;Abril;37.55;1126.38;0.18;8.47
29;1997;Mayo;37.89;1136.63;0.91;9.28
30;1997;Junio;38.1;1143.08;0.57;9.24
31;1997;Julio;38.16;1144.72;0.14;6.62
32;1997;Agosto;38.15;1144.63;-0.01;3.29
33;1997;Septiembre;38.09;1142.64;-0.17;2.57
34;1997;Octubre;38.36;1150.88;0.72;2.62
35;1997;Noviembre;38.48;1154.3;0.3;2.3
36;1997;Diciembre;38.71;1161.25;0.6;2.81
37;1998;Enero;38.63;1158.93;-0.2;3.86
38;1998;Febrero;38.5;1154.9;-0.35;4.64
39;1998;Marzo;39.14;1174.17;1.67;4.43
40;1998;Abril;39.79;1193.73;1.67;5.98
41;1998;Mayo;40.04;1201.07;0.61;5.67
42;1998;Junio;38.26;1147.85;-4.43;0.42
43;1998;Julio;38.53;1155.86;0.7;0.97
44;1998;Agosto;38.19;1145.84;-0.87;0.11
45;1998;Septiembre;36.02;1080.61;-5.69;-5.43
46;1998;Octubre;37.45;1123.39;3.96;-2.39
47;1998;Noviembre;39.52;1185.48;5.53;2.7
48;1998;Diciembre;39.6;1188.08;0.22;2.31
49;1999;Enero;39.39;1181.74;-0.53;1.97
50;1999;Febrero;38.88;1166.49;-1.29;1
51;1999;Marzo;38.41;1152.3;-1.22;-1.86
52;1999;Abril;37.78;1133.36;-1.64;-5.06
53;1999;Mayo;37.72;1131.53;-0.16;-5.79
54;1999;Junio;37.87;1135.96;0.39;-1.04
55;1999;Julio;38.25;1147.63;1.03;-0.71
56;1999;Agosto;38.54;1156.3;0.76;0.91
57;1999;Septiembre;38.53;1155.9;-0.03;6.97
58;1999;Octubre;38.81;1164.19;0.72;3.63
59;1999;Noviembre;38.87;1166.04;0.16;-1.64
60;1999;Diciembre;38.73;1162.01;-0.35;-2.19
61;2000;Enero;39.2;1176.1;1.21;-0.48
62;2000;Febrero;39.52;1185.74;0.82;1.65
63;2000;Marzo;39.66;1189.94;0.35;3.27
64;2000;Abril;39.93;1197.75;0.66;5.68
65;2000;Mayo;39.69;1190.71;-0.59;5.23
66;2000;Junio;40.02;1200.66;0.84;5.7
67;2000;Julio;39.97;1199.07;-0.13;4.48
68;2000;Agosto;39.62;1188.71;-0.86;2.8
69;2000;Septiembre;39.79;1193.76;0.42;3.28
70;2000;Octubre;38.45;1153.53;-3.37;-0.92
71;2000;Noviembre;38.26;1147.92;-0.49;-1.55
72;2000;Diciembre;38.75;1162.51;1.27;0.04
